data_giorno;giorno;totale_transiti_giornalieri_h24;totale_transiti_giornalieri_7.30_19.30_autoveicoli;totale_transiti_giornalieri_7.30_19.30_ciclomotori_motocicli;totale_transiti_giornalieri_00.00_7.29_autoveicoli;totale_transiti_giornalieri_00.00_7.29_ciclomotori_motocicli;totale_transiti_giornalieri_19.30_23.59_autoveicoli;totale_transiti_giornalieri_19.30_23.59_ciclomotori_motocicli
2024-06-20 00:00:00+02:00;giovedì;142616;76659;27516;13842;1567;19403;3629
2024-06-19 00:00:00+02:00;mercoledì;141542;76143;26049;13382;1474;20339;4155
2024-06-18 00:00:00+02:00;martedì;138951;76185;25510;12831;1342;19179;3904
2024-06-17 00:00:00+02:00;lunedì;127292;70041;22074;13911;1374;16903;2989
2024-06-16 00:00:00+02:00;domenica;95262;54079;7948;11634;818;18613;2170
2024-06-15 00:00:00+02:00;sabato;109403;66871;8564;12850;1015;18249;1854
2024-06-14 00:00:00+02:00;venerdì;134766;72989;21841;14795;1588;20836;2717
2024-06-13 00:00:00+02:00;giovedì;142346;76191;25091;14266;1176;21528;4094
2024-06-12 00:00:00+02:00;mercoledì;137093;77047;22839;12974;1073;21484;1676
2024-06-11 00:00:00+02:00;martedì;135606;74968;24345;12994;1291;20619;1389
2024-06-10 00:00:00+02:00;lunedì;124838;68621;22680;12627;1064;17010;2836
2024-06-09 00:00:00+02:00;domenica;96563;57393;7350;12084;973;17526;1237
2024-06-08 00:00:00+02:00;sabato;113649;65338;12304;13158;1330;19334;2185
2024-06-07 00:00:00+02:00;venerdì;135595;70881;24339;14745;1689;20448;3493
2024-06-06 00:00:00+02:00;giovedì;144184;76110;27509;13976;1586;20916;4087
2024-06-05 00:00:00+02:00;mercoledì;141378;74629;27107;13404;1401;20735;4102
2024-06-04 00:00:00+02:00;martedì;138681;76308;26917;12384;1270;18534;3268
2024-06-03 00:00:00+02:00;lunedì;128781;72075;23460;12544;939;16959;2804
2024-06-02 00:00:00+02:00;domenica;87814;51704;6145;11615;1042;16569;739
2024-05-01 00:00:00+02:00;mercoledì;93728;57537;4403;11154;878;18998;758
2024-04-30 00:00:00+02:00;martedì;124072;68374;21369;11387;978;19143;2821
2024-04-29 00:00:00+02:00;lunedì;112853;64703;18551;12294;916;14421;1968
2024-04-28 00:00:00+02:00;domenica;83999;49827;5924;9430;358;15774;2686
2024-04-27 00:00:00+02:00;sabato;88107;55933;5277;9539;398;16173;787
2024-04-26 00:00:00+02:00;venerdì;91511;53501;8714;11661;728;16224;683
2024-04-25 00:00:00+02:00;giovedì;80493;48805;6978;10012;540;12976;1182
2024-04-24 00:00:00+02:00;mercoledì;134063;76071;22501;12836;864;19607;2184
2024-04-23 00:00:00+02:00;martedì;136954;84292;14225;16513;868;19421;1635
2024-04-22 00:00:00+02:00;lunedì;131467;83647;7969;13958;528;23893;1472
2024-04-21 00:00:00+02:00;domenica;114386;68631;9452;15909;1159;18270;965
2024-04-20 00:00:00+02:00;sabato;142031;78662;16169;16956;1432;25540;3272
2024-04-19 00:00:00+02:00;venerdì;160197;79247;27907;17715;1441;28755;5132
2024-04-18 00:00:00+02:00;giovedì;164388;86482;29159;17190;1425;25877;4255
2024-04-17 00:00:00+02:00;mercoledì;160643;84542;28875;15633;1331;25834;4428
2024-04-16 00:00:00+02:00;martedì;157498;83725;29198;14251;1463;24628;4233
2024-04-15 00:00:00+02:00;lunedì;150702;82675;29128;13664;1389;20261;3585
2024-04-14 00:00:00+02:00;domenica;110013;61649;9904;14253;1331;20291;2585
2024-04-13 00:00:00+02:00;sabato;131663;72475;14424;14964;1511;24436;3853
2024-04-12 00:00:00+02:00;venerdì;149597;76946;26187;16245;1524;24327;4368
2024-04-11 00:00:00+02:00;giovedì;153850;83368;28289;14419;1060;22600;4114
2024-04-10 00:00:00+02:00;mercoledì;140342;88741;12117;14343;628;22935;1578
2024-04-09 00:00:00+02:00;martedì;143165;83619;22680;12794;1128;20933;2011
2024-04-08 00:00:00+02:00;lunedì;135518;74411;26680;12873;1123;17613;2818
2024-04-07 00:00:00+02:00;domenica;97548;51775;11732;13690;1311;16995;2045
2024-04-06 00:00:00+02:00;sabato;127085;71101;13810;14028;1358;23540;3248
2024-04-05 00:00:00+02:00;venerdì;140544;73382;25262;14011;1267;22943;3679
2024-04-04 00:00:00+02:00;giovedì;139759;75618;26759;12942;1192;19993;3255
2024-04-03 00:00:00+02:00;mercoledì;123217;71765;18978;11732;944;17610;2188
2024-04-02 00:00:00+02:00;martedì;105339;57227;19021;10696;906;15345;2144
2024-04-01 00:00:00+02:00;lunedì;69272;45462;4074;6077;156;12626;877
2024-03-31 00:00:00+01:00;domenica;56204;37322;1376;7296;184;9653;373
2024-03-30 00:00:00+01:00;sabato;80097;52264;5224;9584;445;12177;403
2024-03-29 00:00:00+01:00;venerdì;96952;57698;9375;13735;793;14281;1070
2024-03-28 00:00:00+01:00;giovedì;121277;71726;13567;14949;966;18265;1804
2024-03-27 00:00:00+01:00;mercoledì;135551;84402;12907;13868;591;21681;2102
2024-03-26 00:00:00+01:00;martedì;135207;84833;13543;12883;991;21571;1386
2024-03-25 00:00:00+01:00;lunedì;131009;73589;23929;12590;1112;17285;2504
2024-03-24 00:00:00+01:00;domenica;92676;50491;9178;13779;1019;16626;1583
2024-03-23 00:00:00+01:00;sabato;127912;74049;11495;15136;1283;23538;2411
2024-03-22 00:00:00+01:00;venerdì;153737;79799;24492;15202;1356;29186;3702
2024-03-21 00:00:00+01:00;giovedì;146984;80208;25347;14149;1151;22737;3392
2024-03-20 00:00:00+01:00;mercoledì;142148;78898;25593;12790;1177;20733;2957
2024-03-19 00:00:00+01:00;martedì;138298;77987;24912;12439;1125;19067;2768
2024-03-18 00:00:00+01:00;lunedì;131467;73829;24613;12722;1075;16749;2479
2024-03-17 00:00:00+01:00;domenica;101796;61182;7859;13511;975;16608;1661
2024-03-16 00:00:00+01:00;sabato;123622;71049;11988;13883;1028;23189;2485
2024-03-15 00:00:00+01:00;venerdì;139254;74542;22973;14620;1211;23051;2857
2024-03-14 00:00:00+01:00;giovedì;141497;77799;24404;14018;1223;21106;2947
2024-03-13 00:00:00+01:00;mercoledì;136276;76017;24173;12697;1114;19521;2754
2024-03-12 00:00:00+01:00;martedì;134620;76133;23494;12255;1025;19055;2658
2024-03-11 00:00:00+01:00;lunedì;127657;73493;21629;12664;860;16803;2208
2024-03-10 00:00:00+01:00;domenica;91710;58786;2301;13722;428;15484;989
2024-03-09 00:00:00+01:00;sabato;120868;74427;5425;15355;490;23943;1228
2024-03-08 00:00:00+01:00;venerdì;143560;78176;20230;14933;1162;27625;1434
2024-03-07 00:00:00+01:00;giovedì;141742;77751;24322;13702;1085;22031;2851
2024-03-06 00:00:00+01:00;mercoledì;136423;79277;20187;12860;769;20741;2589
2024-03-05 00:00:00+01:00;martedì;136547;78036;22529;12272;955;21492;1263
2024-03-04 00:00:00+01:00;lunedì;124917;72840;19627;12732;657;16912;2149
2024-03-03 00:00:00+01:00;domenica;92898;59813;2941;13865;538;15075;666
2024-03-02 00:00:00+01:00;sabato;115969;72523;4598;14010;474;23051;1313
2024-03-01 00:00:00+01:00;venerdì;128618;79104;9342;15364;716;23141;951
2024-02-29 00:00:00+01:00;giovedì;137592;77447;21698;13493;1132;21662;2160
2024-02-28 00:00:00+01:00;mercoledì;136113;79212;20239;13059;718;20363;2522
2024-02-27 00:00:00+01:00;martedì;130472;85569;9510;13120;542;20609;1122
2024-02-26 00:00:00+01:00;lunedì;124818;81130;10581;13411;678;18131;887
2024-02-25 00:00:00+01:00;domenica;108278;67553;6276;15809;770;16638;1232
2024-02-24 00:00:00+01:00;sabato;133762;80868;8207;16827;821;25508;1531
2024-02-23 00:00:00+01:00;venerdì;145118;86837;12260;17649;489;25948;1935
2024-02-22 00:00:00+01:00;giovedì;145919;86701;16396;14983;1019;25819;1001
2024-02-21 00:00:00+01:00;mercoledì;149481;83311;25255;13895;1177;22933;2910
2024-02-20 00:00:00+01:00;martedì;143431;81206;24740;12704;1021;20696;3064
2024-02-19 00:00:00+01:00;lunedì;130016;73916;22667;12458;981;17767;2227
2024-02-18 00:00:00+01:00;domenica;97875;60114;6267;12514;796;16911;1273
2024-02-17 00:00:00+01:00;sabato;110561;64050;9434;12661;893;21556;1967
2024-02-16 00:00:00+01:00;venerdì;121928;65165;18396;14646;1051;20294;2376
2024-02-15 00:00:00+01:00;giovedì;130230;70625;22029;13987;1063;19963;2563
2024-02-14 00:00:00+01:00;mercoledì;135553;74969;21140;12378;974;23252;2840
2024-02-13 00:00:00+01:00;martedì;129590;74292;20616;11795;881;19432;2574
2024-02-12 00:00:00+01:00;lunedì;121802;70913;19377;12441;816;16228;2027
2024-02-11 00:00:00+01:00;domenica;95457;60344;4357;13755;240;15503;1258
2024-02-10 00:00:00+01:00;sabato;114844;74052;2688;14961;334;22372;437
2024-02-09 00:00:00+01:00;venerdì;128616;80002;8741;14071;675;24255;872
2024-02-08 00:00:00+01:00;giovedì;133675;75371;22264;12452;947;20563;2078
2024-02-07 00:00:00+01:00;mercoledì;130787;74232;22636;11823;978;18657;2461
2024-02-06 00:00:00+01:00;martedì;128008;73629;22589;11468;903;17025;2394
2024-02-05 00:00:00+01:00;lunedì;121711;70016;20673;12008;880;16023;2111
2024-02-04 00:00:00+01:00;domenica;96967;60228;6203;12911;760;15389;1476
2024-02-03 00:00:00+01:00;sabato;116478;68688;9146;13154;833;22624;2033
2024-02-02 00:00:00+01:00;venerdì;129984;72119;19519;13307;877;21853;2309
2024-02-01 00:00:00+01:00;giovedì;132265;75998;20529;12660;832;19842;2404
2024-01-31 00:00:00+01:00;mercoledì;132213;77647;20277;11553;747;19644;2345
2024-01-30 00:00:00+01:00;martedì;129142;77265;19614;11027;705;18579;1952
2024-01-29 00:00:00+01:00;lunedì;117662;71720;17695;10865;639;15236;1507
2024-01-28 00:00:00+01:00;domenica;88509;56526;4388;12529;686;13563;817
2024-01-27 00:00:00+01:00;sabato;115528;70014;8134;13074;770;21806;1730
2024-01-26 00:00:00+01:00;venerdì;130909;74039;18360;13257;908;22199;2146
2024-01-25 00:00:00+01:00;giovedì;136294;78052;20687;12983;875;21393;2304
2024-01-24 00:00:00+01:00;mercoledì;144238;83168;21279;12384;805;24119;2483
2024-01-23 00:00:00+01:00;martedì;130342;76852;19696;11743;782;19183;2086
2024-01-22 00:00:00+01:00;lunedì;120274;72499;17891;11317;672;16124;1771
2024-01-21 00:00:00+01:00;domenica;96886;61130;4532;14343;628;15300;953
2024-01-20 00:00:00+01:00;sabato;120025;73185;7545;13521;622;23597;1555
2024-01-19 00:00:00+01:00;venerdì;131397;75051;16813;13952;829;23225;1527
2024-01-18 00:00:00+01:00;giovedì;134053;78255;19127;12961;661;20941;2108
2024-01-17 00:00:00+01:00;mercoledì;128200;80520;12535;11815;662;21388;1280
2024-01-16 00:00:00+01:00;martedì;129920;78581;18779;11655;678;18413;1814
2024-01-15 00:00:00+01:00;lunedì;122745;74036;17901;12525;768;16002;1513
2024-01-14 00:00:00+01:00;domenica;101247;64406;5078;13941;644;15992;1186
2024-01-13 00:00:00+01:00;sabato;125830;77358;8287;13948;864;23713;1660
2024-01-12 00:00:00+01:00;venerdì;133819;75340;18491;12861;812;24052;2263
2024-01-11 00:00:00+01:00;giovedì;131509;75265;20942;12270;920;19892;2220
2024-01-10 00:00:00+01:00;mercoledì;126038;72916;20922;11375;845;17869;2111
2024-01-09 00:00:00+01:00;martedì;122925;71330;21260;11075;833;16377;2050
2024-01-08 00:00:00+01:00;lunedì;109682;63229;18879;11323;671;13887;1693
2024-01-07 00:00:00+01:00;domenica;84084;56285;4427;9137;338;13096;801
2024-01-06 00:00:00+01:00;sabato;87267;57079;3454;8218;188;17531;797
2024-01-05 00:00:00+01:00;venerdì;80935;52030;3789;9042;441;15309;324
2024-01-04 00:00:00+01:00;giovedì;76895;46631;8561;8506;506;11853;838
2024-01-03 00:00:00+01:00;mercoledì;71956;44449;7493;8249;422;10707;636
2024-01-02 00:00:00+01:00;martedì;62488;38868;5510;7492;403;9725;490
2024-01-01 00:00:00+01:00;lunedì;56293;34205;1680;12342;197;7566;303
2023-12-31 00:00:00+01:00;domenica;60822;38394;1339;6193;206;14396;294
2023-12-30 00:00:00+01:00;sabato;75172;50885;4838;7476;308;11048;617
2023-12-29 00:00:00+01:00;venerdì;78581;48327;8157;9231;530;11590;746
2023-12-28 00:00:00+01:00;giovedì;82759;51481;8786;9164;486;12013;829
2023-12-27 00:00:00+01:00;mercoledì;82974;52847;9388;8227;577;11142;793
2023-12-26 00:00:00+01:00;martedì;66198;46115;3359;5116;270;10580;758
2023-12-25 00:00:00+01:00;lunedì;66145;42848;2307;7648;416;12229;697
2023-12-24 00:00:00+01:00;domenica;84510;54999;7804;8613;639;11756;699
2023-12-23 00:00:00+01:00;sabato;114783;70658;12206;12973;1027;16288;1631
2023-12-22 00:00:00+01:00;venerdì;140624;78579;22293;15767;1250;20525;2210
2023-12-21 00:00:00+01:00;giovedì;150363;85640;23585;15133;1111;22398;2496
2023-12-20 00:00:00+01:00;mercoledì;152290;86969;23799;14851;1133;22831;2707
2023-12-19 00:00:00+01:00;martedì;150658;86205;23614;13747;1055;23149;2888
2023-12-18 00:00:00+01:00;lunedì;140791;82695;22064;12019;926;20526;2561
2023-12-17 00:00:00+01:00;domenica;113809;71706;8126;14937;897;16738;1405
2023-12-16 00:00:00+01:00;sabato;139733;82983;12691;16233;1103;24417;2306
2023-12-15 00:00:00+01:00;venerdì;154350;85319;22258;16438;1282;26313;2740
2023-12-14 00:00:00+01:00;giovedì;154076;86404;23516;15405;1153;24546;3052
2023-12-13 00:00:00+01:00;mercoledì;143115;82753;19442;14798;831;22548;2743
2023-12-12 00:00:00+01:00;martedì;144731;85732;21114;12620;882;21908;2475
2023-12-11 00:00:00+01:00;lunedì;130155;79000;18069;11969;682;18529;1906
2023-12-10 00:00:00+01:00;domenica;93827;63838;4449;9572;265;14821;882
2023-12-09 00:00:00+01:00;sabato;95099;64310;4398;8886;341;16488;676
2023-12-08 00:00:00+01:00;venerdì;82338;55470;2792;9059;358;14082;577
2023-12-07 00:00:00+01:00;giovedì;92134;57427;6829;11506;425;15117;830
2023-12-06 00:00:00+01:00;mercoledì;136514;84557;16999;13175;771;19536;1476
2023-12-05 00:00:00+01:00;martedì;139343;86378;17452;12385;688;20516;1924
2023-12-04 00:00:00+01:00;lunedì;129679;81001;15412;12609;718;18724;1215
2023-12-03 00:00:00+01:00;domenica;106720;68643;6329;14314;728;15556;1150
2023-12-02 00:00:00+01:00;sabato;128878;81458;7473;14541;532;23206;1668
2023-12-01 00:00:00+01:00;venerdì;138389;81239;14245;15590;840;24936;1539
