"data_giorno";"numero_transiti_giornalieri"
"2017-07-26";158245
"2017-07-25";151448
"2017-07-24";141523
"2017-07-23";88645
"2017-07-22";110005
"2017-07-21";146376
"2017-07-20";165383
"2017-07-19";161572
"2017-07-18";156040
"2017-07-17";143220
"2017-07-16";89405
"2017-07-15";108244
"2017-07-14";147268
"2017-07-13";165109
"2017-07-12";165044
"2017-07-11";161562
"2017-07-10";147511
"2017-07-09";93660
"2017-07-08";110793
"2017-07-07";150801
"2017-07-06";171025
"2017-07-05";166307
"2017-07-04";163119
"2017-07-03";151325
"2017-07-02";104224
"2017-07-01";124917
"2017-06-30";156981
"2017-06-29";168528
"2017-06-28";163315
"2017-06-27";165942
"2017-06-26";154349
"2017-06-25";99231
"2017-06-24";120439
"2017-06-23";156343
"2017-06-22";170670
"2017-06-21";171236
"2017-06-20";166268
"2017-06-19";160576
"2017-06-18";111775
"2017-06-17";137614
"2017-06-16";184822
"2017-06-15";176918
"2017-06-14";169916
"2017-06-13";164690
"2017-06-12";156270
"2017-06-11";107531
"2017-06-10";136030
"2017-06-09";169139
"2017-06-08";175906
"2017-06-07";170459
"2017-06-06";164861
"2017-06-05";153503
"2017-06-04";96522
"2017-06-03";91704
"2017-06-02";90520
"2017-06-01";162489
"2017-05-31";169187
"2017-05-30";168337
"2017-05-29";157467
"2017-05-28";116967
"2017-05-27";145975
"2017-05-26";173152
"2017-05-25";177711
"2017-05-24";169098
"2017-05-23";165164
"2017-05-22";154245
"2017-05-21";118637
"2017-05-20";156676
"2017-05-19";165997
"2017-05-18";174748
"2017-05-17";166098
"2017-05-16";166243
"2017-05-15";153833
"2017-05-14";122773
"2017-05-13";155606
"2017-05-12";163634
"2017-05-11";167733
"2017-05-10";168871
"2017-05-09";165638
"2017-05-08";156709
"2017-05-07";130879
"2017-05-06";152828
"2017-05-05";173136
"2017-05-04";166520
"2017-05-03";159399
"2017-05-02";153586
"2017-05-01";103775
"2017-04-30";102828
"2017-04-29";130082
"2017-04-28";155746
"2017-04-27";154499
"2017-04-26";143135
"2017-04-25";97940
"2017-04-24";102518
"2017-04-23";91975
"2017-04-22";123772
"2017-04-21";155590
"2017-04-20";160393
"2017-04-19";155197
"2017-04-18";137398
"2017-04-17";83339
"2017-04-16";69051
"2017-04-15";99159
"2017-04-14";132084
"2017-04-13";158895
"2017-04-12";170669
"2017-04-11";166644
"2017-04-10";158323
"2017-04-09";137577
"2017-04-08";174038
"2017-04-07";188463
"2017-04-06";190496
"2017-04-05";193529
"2017-04-04";181179
"2017-04-03";166467
"2017-04-02";127047
"2017-04-01";158711
"2017-03-31";172298
"2017-03-30";171859
"2017-03-29";164288
"2017-03-28";159700
"2017-03-27";150078
"2017-03-26";118561
"2017-03-25";124699
"2017-03-24";161868
"2017-03-23";151525
"2017-03-22";158100
"2017-03-21";156922
"2017-03-20";149470
"2017-03-19";113653
"2017-03-18";146337
"2017-03-17";161051
"2017-03-16";165362
"2017-03-15";161882
"2017-03-14";159653
"2017-03-13";147979
"2017-03-12";118118
"2017-03-11";146370
"2017-03-10";159950
"2017-03-09";166273
"2017-03-08";178796
"2017-03-07";156758
"2017-03-06";146193
"2017-03-05";118194
"2017-03-04";129266
"2017-03-03";141991
"2017-03-02";152553
"2017-03-01";152667
"2017-02-28";148117
"2017-02-27";150178
"2017-02-26";133645
"2017-02-25";161027
"2017-02-24";170754
"2017-02-23";171389
"2017-02-22";163184
"2017-02-21";146428
"2017-02-20";135251
"2017-02-19";105735
"2017-02-18";131495
"2017-02-17";146282
"2017-02-16";153491
"2017-02-15";157964
"2017-02-14";161472
"2017-02-13";145332
"2017-02-12";112517
"2017-02-11";140870
"2017-02-10";178879
"2017-02-09";182056
"2017-02-08";157559
"2017-02-07";157133
"2017-02-06";147122
"2017-02-05";111529
"2017-02-04";142205
"2017-02-03";156881
"2017-02-02";155571
"2017-02-01";153711
"2017-01-31";152095
"2017-01-30";146793
"2017-01-29";113543
"2017-01-28";144261
"2017-01-27";164805
"2017-01-26";165083
"2017-01-25";157379
"2017-01-24";155028
"2017-01-23";145763
"2017-01-22";113819
"2017-01-21";145178
"2017-01-20";161022
"2017-01-19";160867
"2017-01-18";159315
"2017-01-17";158662
"2017-01-16";150747
"2017-01-15";123939
"2017-01-14";157609
"2017-01-13";159961
"2017-01-12";156248
"2017-01-11";150039
"2017-01-10";146452
"2017-01-09";137492
"2017-01-08";103517
"2017-01-07";118556
"2017-01-06";100212
"2017-01-05";113458
"2017-01-04";102589
"2017-01-03";97728
"2017-01-02";86378
"2017-01-01";75443
"2016-12-31";87302
